# REELDEĞER Backtest 2021-Q2 → 2026-Q1 (look-ahead bias)

category,label,cost_model,cumulative_twr_pct,annualized_pct,annual_vol_pct,sharpe,sortino,max_drawdown_pct,best_q_pct,worst_q_pct,n_pos_q,n_neg_q
portfolio,konservatif,zero,404.37,40.59,28.34,1.291,7.231,-12.10,42.95,-6.25,12,7
portfolio,konservatif,realistic,392.95,39.91,28.33,1.267,7.097,-12.46,42.81,-6.37,12,7
portfolio,dengeli,zero,422.65,41.65,28.81,1.307,6.566,-12.80,44.56,-6.92,13,6
portfolio,dengeli,realistic,410.81,40.96,28.80,1.283,6.445,-13.15,44.43,-7.05,13,6
portfolio,agresif,zero,319.92,35.27,24.37,1.283,4.740,-11.69,39.22,-8.46,14,5
portfolio,agresif,realistic,310.32,34.61,24.37,1.256,4.693,-12.05,39.09,-8.59,13,6
benchmark,XU100,n/a,830.94,59.95,41.95,1.334,5.926,-12.64,73.25,-12.64,15,4
benchmark,XU030,n/a,878.78,61.65,40.53,1.422,6.269,-10.94,71.93,-10.94,14,5
benchmark,SPY,n/a,47.64,8.55,15.21,0.299,0.475,-24.80,11.19,-16.47,13,6
