ticker,success,is_banking,model_used,lifecycle_stage,lifecycle_sub,value_per_share_tl,market_price_tl,upside_pct,damodaran_verdict,equity_value_tl,shares_outstanding,wacc,normalized_margin,periods_fetched,items_mapped,errors
ALARK,False,False,decline_dcf,decline,"cyclical,capital_intensive",,100.30,,UNKNOWN,,,,,16,12,Model decline_dcf orchestration TBD (Faz 2.3.x)
ZOREN,False,False,cyclical_dcf,mature_stable,cyclical,,3.17,,UNKNOWN,,,,44.79%,16,12,Current revenue is None | DCF execution returned None
ENERY,True,False,industrial_fcff,mature_growth,"stable,capital_intensive",2.12,9.00,-76.49,SAT,19.05B,9000000000,13.83%,9.61%,8,12,
ODAS,True,False,cyclical_dcf,mature_stable,"cyclical,capital_intensive",5.99,7.60,-21.23,IZLE-SAT,8.38B,1400000000,14.26%,11.95%,16,12,
EUPWR,False,False,cyclical_dcf,mature_growth,"cyclical,capital_intensive",,61.35,,UNKNOWN,,,,20.48%,8,12,Current revenue is None | DCF execution returned None
TRENJ,True,False,cyclical_dcf,mature_stable,"cyclical,capital_intensive",92.84,92.05,0.86,BEKLE,24.12B,259785561,14.41%,35.17%,16,12,
IZENR,True,False,cyclical_dcf,mature_growth,"cyclical,capital_intensive",3.14,10.55,-70.22,SAT,7.68B,2443750000,14.05%,15.19%,8,12,
PASEU,True,False,cyclical_dcf,mature_growth,"cyclical,capital_intensive",1.96,109.40,-98.21,SAT,1.32B,672000000,13.80%,12.52%,8,12,
SISE,True,False,cyclical_dcf,mature_stable,"cyclical,capital_intensive",25.24,49.62,-49.14,SAT,77.31B,3063214056,11.16%,11.95%,12,12,
SASA,True,False,cyclical_dcf,mature_growth,"cyclical,capital_intensive",-1.79,3.08,-158.07,SAT,-78.36B,43815615361,10.71%,10.91%,16,12,
GUBRF,True,False,cyclical_dcf,mature_stable,"cyclical,capital_intensive",114.56,583.00,-80.35,SAT,38.26B,334000000,11.85%,10.78%,16,12,
CIMSA,True,False,cyclical_dcf,mature_stable,"cyclical,capital_intensive",19.84,58.45,-66.06,SAT,18.76B,945591094,11.03%,17.01%,16,12,
BTCIM,True,False,cyclical_dcf,mature_growth,"cyclical,capital_intensive",0.20,6.49,-96.98,SAT,1.09B,5580000000,12.65%,8.10%,16,12,
KUYAS,True,False,cyclical_dcf,mature_stable,"cyclical,capital_intensive",2347.50,86.60,2610.73,AL,939.00B,400000000,11.78%,16027.42%,16,12,
BSOKE,True,False,cyclical_dcf,mature_growth,"cyclical,capital_intensive",-1.64,38.26,-104.29,SAT,-2.62B,1600000000,12.33%,2.14%,16,12,
MAGEN,True,False,cyclical_dcf,mature_growth,"cyclical,capital_intensive",-0.05,64.65,-100.08,SAT,-0.16B,2950000000,12.50%,45.38%,8,12,
SARKY,True,False,cyclical_dcf,mature_stable,"cyclical,capital_intensive",9.91,27.72,-64.26,SAT,9.91B,1000000000,10.79%,4.30%,16,12,
BALSU,False,False,decline_dcf,decline,"cyclical,capital_intensive",,14.58,,UNKNOWN,,,,,4,12,Model decline_dcf orchestration TBD (Faz 2.3.x)
ANSGR,False,False,none,,,,30.24,,UNKNOWN,,,,,0,0,Pipeline error: ValueError: No items in response for ANSGR
GRSEL,True,False,cyclical_dcf,mature_growth,"cyclical,capital_intensive",66.05,321.00,-79.42,SAT,6.74B,102000000,13.78%,14.07%,8,12,
TURSG,False,False,none,,,,14.12,,UNKNOWN,,,,,0,0,Pipeline error: ValueError: No items in response for TURSG
DOAS,True,False,cyclical_dcf,mature_stable,"cyclical,capital_intensive",279.57,185.40,50.79,AL,61.51B,220000000,12.91%,7.27%,16,12,
BRYAT,False,False,decline_dcf,decline,"cyclical,asset_light",,2213.00,,UNKNOWN,,,,,16,12,Model decline_dcf orchestration TBD (Faz 2.3.x)
OBAMS,True,False,cyclical_dcf,mature_growth,"cyclical,capital_intensive",3.91,8.44,-53.72,SAT,11.24B,2876530554,14.16%,6.52%,8,12,
PAHOL,True,False,cyclical_dcf,mature_stable,"cyclical,capital_intensive",0.25,1.55,-83.64,SAT,5.07B,20000000000,14.40%,69.73%,4,12,
PSGYO,True,False,cyclical_dcf,mature_stable,"cyclical,capital_intensive",-1.97,3.05,-164.49,SAT,-13.57B,6900847276,11.21%,9.36%,8,12,
RALYH,False,False,none,,,,371.25,,UNKNOWN,,,,,0,0,Pipeline error: ValueError: No items in response for RALYH
MIATK,True,False,cyclical_dcf,mature_growth,"cyclical,capital_intensive",20.58,43.54,-52.74,SAT,10.16B,494000000,13.35%,50.61%,8,12,
REEDR,True,False,cyclical_dcf,mature_growth,"cyclical,capital_intensive",5.25,7.74,-32.18,SAT,4.99B,950000000,13.60%,26.21%,8,12,
GESAN,True,False,cyclical_dcf,mature_growth,"cyclical,capital_intensive",34.68,56.50,-38.63,SAT,15.95B,460000000,13.66%,21.51%,8,12,
CANTE,True,False,cyclical_dcf,mature_growth,"cyclical,capital_intensive",0.78,1.77,-55.80,SAT,7.80B,9974175415,14.39%,17.63%,8,12,
CVKMD,True,False,cyclical_dcf,mature_growth,"cyclical,capital_intensive",3.17,37.08,-91.45,SAT,4.44B,1400000000,12.41%,27.87%,8,12,
EFOR,True,False,cyclical_dcf,mature_stable,"cyclical,capital_intensive",1.79,12.10,-85.19,SAT,3.90B,2178000000,11.81%,9.76%,4,12,
FENER,False,False,distress_dcf,distress,"cyclical,capital_intensive",,3.46,,UNKNOWN,,,,,16,12,Model distress_dcf orchestration TBD (Faz 2.3.x)
KLRHO,True,False,cyclical_dcf,mature_growth,"cyclical,capital_intensive",4.24,111.30,-96.19,SAT,6.88B,1625000000,13.87%,15.33%,8,12,
AGHOL,True,False,cyclical_dcf,mature_growth,"cyclical,capital_intensive",78.63,34.18,130.05,AL,191.49B,2435345180,11.71%,6.07%,16,12,
ALTNY,True,False,cyclical_dcf,mature_growth,"cyclical,capital_intensive",3.85,17.75,-78.33,SAT,3.85B,1000000000,13.02%,28.90%,4,12,
ASTOR,True,False,cyclical_dcf,mature_growth,"cyclical,capital_intensive",45.83,317.75,-85.58,SAT,45.74B,998000000,13.70%,26.27%,8,12,
BRSAN,True,False,cyclical_dcf,mature_growth,"cyclical,capital_intensive",42.93,620.00,-93.08,SAT,6.09B,141771582,11.98%,6.26%,16,12,
DAPGM,True,False,cyclical_dcf,mature_growth,"cyclical,asset_light",7.78,10.38,-25.03,IZLE-SAT,20.62B,2650000000,12.87%,44.81%,8,12,
DSTKF,False,False,none,,,,2755.00,,UNKNOWN,,,,,0,0,Pipeline error: ValueError: No items in response for DSTKF
GLRMK,True,False,industrial_fcff,mature_stable,"stable,capital_intensive",114.25,195.30,-41.50,SAT,36.86B,322600000,10.57%,8.64%,4,12,
GRTHO,True,False,industrial_fcff,mature_stable,"stable,capital_intensive",28.39,246.10,-88.47,SAT,3.55B,125000000,13.83%,15.89%,8,12,
PATEK,True,False,cyclical_dcf,mature_growth,"cyclical,capital_intensive",-0.32,25.24,-101.25,SAT,-0.21B,674934432,13.18%,0.32%,8,12,
TABGD,False,False,young_firm_dcf,high_growth,"cyclical,capital_intensive",,270.00,,UNKNOWN,,,,,8,12,Model young_firm_dcf orchestration TBD (Faz 2.3.x)
TUREX,True,False,cyclical_dcf,mature_growth,"cyclical,capital_intensive",3.62,9.08,-60.18,SAT,3.91B,1080000000,13.41%,13.70%,8,12,
EKGYO,True,False,industrial_fcff,mature_stable,"stable,capital_intensive",14.82,21.22,-30.16,SAT,54.26B,3661120138,13.43%,25.62%,16,12,
GENIL,True,False,industrial_fcff,mature_growth,"stable,capital_intensive",1.59,8.86,-82.07,SAT,7.15B,4500000000,13.27%,6.07%,8,12,
MPARK,True,False,cyclical_dcf,mature_growth,"cyclical,capital_intensive",279.17,454.00,-38.51,SAT,28.51B,102122233,12.28%,13.95%,12,12,
GSRAY,False,False,distress_dcf,distress,cyclical,,1.17,,UNKNOWN,,,,,16,12,Model distress_dcf orchestration TBD (Faz 2.3.x)
KTLEV,False,False,none,,,,115.30,,UNKNOWN,,,,,0,0,Pipeline error: ValueError: No items in response for KTLEV
QUAGR,True,False,cyclical_dcf,mature_growth,"cyclical,capital_intensive",5.16,3.68,40.16,AL,13.62B,2640000000,11.36%,26.64%,8,12,
KLNMA,False,False,none,,,,9.56,,UNKNOWN,,,,,0,0,Pipeline error: ValueError: No items in response for KLNMA
QNBTR,False,False,none,,,,242.00,,UNKNOWN,,,,,0,0,Pipeline error: ValueError: No items in response for QNBTR
AGESA,False,False,none,,,,245.70,,UNKNOWN,,,,,0,0,Pipeline error: ValueError: No items in response for AGESA
ANHYT,False,False,none,,,,114.00,,UNKNOWN,,,,,0,0,Pipeline error: ValueError: No items in response for ANHYT
AKGRT,False,False,none,,,,7.42,,UNKNOWN,,,,,0,0,Pipeline error: ValueError: No items in response for AKGRT
RAYSG,False,False,none,,,,201.90,,UNKNOWN,,,,,0,0,Pipeline error: ValueError: No items in response for RAYSG
GLYHO,True,False,cyclical_dcf,mature_growth,"cyclical,capital_intensive",-6.13,15.61,-139.25,SAT,-11.95B,1950000000,7.89%,24.54%,16,12,
NTHOL,True,False,industrial_fcff,mature_stable,"stable,capital_intensive",32.23,39.84,-19.11,IZLE-SAT,14.70B,456040861,13.45%,14.71%,16,12,
AVHOL,True,False,cyclical_dcf,mature_stable,"cyclical,capital_intensive",-1.09,38.92,-102.80,SAT,-0.04B,37250000,12.94%,7.04%,16,12,
IEYHO,False,False,distress_dcf,distress,"cyclical,capital_intensive",,100.50,,UNKNOWN,,,,,16,12,Model distress_dcf orchestration TBD (Faz 2.3.x)
POLHO,True,False,cyclical_dcf,mature_stable,"cyclical,capital_intensive",4.07,21.00,-80.64,SAT,3.08B,758500000,13.58%,10.03%,16,12,
GOZDE,False,False,distress_dcf,distress,"cyclical,asset_light",,20.46,,UNKNOWN,,,,,16,12,Model distress_dcf orchestration TBD (Faz 2.3.x)
MZHLD,True,False,cyclical_dcf,mature_stable,"cyclical,capital_intensive",7.57,6.70,12.97,IZLE-AL,0.82B,108559000,14.19%,6.41%,16,12,
TRHOL,False,False,distress_dcf,distress,"cyclical,capital_intensive",,1331.00,,UNKNOWN,,,,,16,12,Model distress_dcf orchestration TBD (Faz 2.3.x)
AKFGY,False,False,decline_dcf,decline,cyclical,,3.01,,UNKNOWN,,,,,16,12,Model decline_dcf orchestration TBD (Faz 2.3.x)
AKMGY,True,False,cyclical_dcf,mature_stable,"cyclical,capital_intensive",114.55,260.50,-56.03,SAT,4.27B,37264000,14.42%,65.56%,16,12,
ALGYO,True,False,cyclical_dcf,mature_stable,"cyclical,asset_light",4.84,7.20,-32.79,SAT,9.82B,2028600000,13.51%,541.36%,16,12,
ASGYO,False,False,distress_dcf,distress,"cyclical,capital_intensive",,12.18,,UNKNOWN,,,,,8,12,Model distress_dcf orchestration TBD (Faz 2.3.x)
ATAGY,True,False,cyclical_dcf,mature_growth,cyclical,6.91,13.18,-47.55,SAT,0.33B,47500000,14.42%,127.30%,16,12,
AVGYO,True,False,industrial_fcff,mature_stable,"stable,capital_intensive",8.23,12.91,-36.27,SAT,0.92B,111600000,14.42%,53.73%,16,12,
DGGYO,True,False,cyclical_dcf,mature_growth,cyclical,23.05,31.42,-26.63,IZLE-SAT,7.65B,332007786,12.51%,181.93%,16,12,
HLGYO,True,False,industrial_fcff,mature_stable,"stable,capital_intensive",7.91,6.11,29.41,IZLE-AL,29.67B,3752699766,13.17%,279.31%,16,12,
IDGYO,False,False,distress_dcf,distress,"cyclical,asset_light",,3.30,,UNKNOWN,,,,,16,12,Model distress_dcf orchestration TBD (Faz 2.3.x)
ISGYO,True,False,cyclical_dcf,mature_stable,"cyclical,capital_intensive",33.25,20.34,63.49,AL,31.88B,958750000,13.59%,138.36%,16,12,
KLGYO,True,False,industrial_fcff,mature_stable,"stable,capital_intensive",13.73,5.23,162.55,AL,19.16B,1395000000,14.33%,31.41%,16,12,
NUGYO,True,False,cyclical_dcf,mature_growth,"cyclical,capital_intensive",13.57,9.74,39.35,AL,4.55B,335348000,14.22%,51.71%,16,12,
AKCNS,True,False,cyclical_dcf,mature_stable,"cyclical,capital_intensive",126.73,210.60,-39.82,SAT,24.26B,191447068,13.40%,13.76%,16,12,
AYGAZ,True,False,cyclical_dcf,mature_stable,"cyclical,capital_intensive",95.36,285.75,-66.63,SAT,20.96B,219800767,14.11%,3.06%,16,12,
BAGFS,False,False,decline_dcf,decline,"cyclical,capital_intensive",,35.74,,UNKNOWN,,,,,16,12,Model decline_dcf orchestration TBD (Faz 2.3.x)
BANVT,True,False,cyclical_dcf,mature_growth,"cyclical,capital_intensive",136.26,155.00,-12.09,IZLE-SAT,13.63B,100023579,12.97%,3.43%,16,12,
BRISA,True,False,cyclical_dcf,mature_growth,"cyclical,capital_intensive",76.47,87.85,-12.96,IZLE-SAT,23.33B,305116875,10.99%,9.31%,16,12,
CLEBI,False,False,cyclical_dcf,mature_stable,"cyclical,capital_intensive",,1822.00,,UNKNOWN,,,,13.21%,16,12,Current revenue is None | DCF execution returned None
CRFSA,False,False,young_firm_dcf,young,cyclical,,147.00,,UNKNOWN,,,,,16,12,Model young_firm_dcf orchestration TBD (Faz 2.3.x)
DEVA,True,False,cyclical_dcf,mature_growth,"cyclical,capital_intensive",56.29,66.20,-14.97,IZLE-SAT,11.26B,200019288,12.49%,19.12%,16,12,
DOCO,False,False,none,,,,9762.50,,UNKNOWN,,,,,0,0,Pipeline error: ValueError: No items in response for DOCO
TTRAK,True,False,cyclical_dcf,mature_stable,"cyclical,capital_intensive",606.61,451.25,34.43,AL,60.70B,100066875,11.33%,11.83%,16,12,
MNDRS,True,False,cyclical_dcf,mature_stable,"cyclical,capital_intensive",8.19,13.10,-37.48,SAT,2.27B,277292576,12.54%,9.27%,16,12,
AYDEM,True,False,cyclical_dcf,mature_growth,"cyclical,capital_intensive",-0.85,29.50,-102.86,SAT,-0.60B,705000000,10.44%,45.53%,8,12,
AYEN,True,False,cyclical_dcf,mature_growth,"cyclical,capital_intensive",33.06,35.52,-6.93,BEKLE,9.17B,277500000,11.86%,29.10%,16,12,
KRDMA,True,False,cyclical_dcf,mature_stable,"cyclical,capital_intensive",29.51,39.56,-25.40,IZLE-SAT,7.09B,240303646,13.72%,8.98%,16,12,
KRDMB,True,False,cyclical_dcf,mature_stable,"cyclical,capital_intensive",29.51,90.65,-67.44,SAT,3.53B,119470352,13.72%,8.98%,16,12,
KAREL,True,False,cyclical_dcf,mature_growth,"cyclical,capital_intensive",4.55,12.95,-64.88,SAT,3.67B,805885530,8.55%,8.86%,16,12,
KFEIN,True,False,cyclical_dcf,mature_growth,"cyclical,capital_intensive",6.33,9.16,-30.94,SAT,1.25B,197500000,14.33%,11.81%,12,12,
KRONT,True,False,cyclical_dcf,mature_stable,"cyclical,capital_intensive",2.30,20.84,-88.94,SAT,0.39B,171222156,12.87%,19.07%,16,12,
NETCD,True,False,cyclical_dcf,mature_stable,"cyclical,capital_intensive",25.47,138.70,-81.64,SAT,3.49B,137000000,14.21%,52.77%,4,12,
PENTA,False,False,none,,,,15.00,,UNKNOWN,,,,,0,0,Pipeline error: ValueError: No items in response for PENTA
SMART,True,False,cyclical_dcf,mature_stable,"cyclical,capital_intensive",8.83,36.56,-75.85,SAT,0.28B,31862500,13.13%,21.70%,12,12,
INVEO,False,False,decline_dcf,decline,"cyclical,asset_light",,7.50,,UNKNOWN,,,,,16,12,Model decline_dcf orchestration TBD (Faz 2.3.x)
GOODY,True,False,cyclical_dcf,mature_stable,"cyclical,capital_intensive",42.04,15.91,164.26,AL,11.35B,270000000,12.09%,5.74%,16,12,
JANTS,True,False,cyclical_dcf,mature_stable,"cyclical,capital_intensive",9.47,17.53,-45.96,SAT,6.63B,700000000,13.41%,18.07%,16,12,
INTEK,False,False,distress_dcf,distress,"cyclical,capital_intensive",,240.60,,UNKNOWN,,,,,16,12,Model distress_dcf orchestration TBD (Faz 2.3.x)
EBEBK,True,False,cyclical_dcf,mature_growth,"cyclical,capital_intensive",8.20,75.25,-89.10,SAT,1.31B,160000000,12.13%,1.09%,8,12,
EDIP,True,False,cyclical_dcf,mature_stable,"cyclical,capital_intensive",40.53,39.50,2.61,BEKLE,2.63B,65000000,12.44%,114.69%,16,12,
EGEGY,False,False,distress_dcf,distress,"cyclical,capital_intensive",,31.34,,UNKNOWN,,,,,4,12,Model distress_dcf orchestration TBD (Faz 2.3.x)
HUBVC,False,False,decline_dcf,decline,"cyclical,capital_intensive",,3.78,,UNKNOWN,,,,,16,12,Model decline_dcf orchestration TBD (Faz 2.3.x)
KOTON,False,False,decline_dcf,decline,"cyclical,capital_intensive",,15.50,,UNKNOWN,,,,,4,12,Model decline_dcf orchestration TBD (Faz 2.3.x)
MOPAS,False,False,decline_dcf,decline,"stable,capital_intensive",,40.74,,UNKNOWN,,,,,4,12,Model decline_dcf orchestration TBD (Faz 2.3.x)
MOGAN,True,False,cyclical_dcf,mature_growth,"cyclical,capital_intensive",-8.28,15.53,-153.32,SAT,-20.21B,2440108000,11.70%,16.09%,8,12,
NUHCM,True,False,cyclical_dcf,mature_stable,"cyclical,capital_intensive",153.35,244.80,-37.36,SAT,23.03B,150213600,13.67%,15.43%,16,12,
ORCAY,True,False,industrial_fcff,mature_stable,"stable,capital_intensive",2.09,4.33,-51.80,SAT,0.50B,240000000,10.26%,22.31%,8,12,
PETUN,False,False,none,,,,13.45,,UNKNOWN,,,,,0,0,Pipeline error: ValueError: No items in response for PETUN
SUNTK,True,False,industrial_fcff,mature_growth,"stable,capital_intensive",21.57,37.64,-42.69,SAT,10.24B,474600000,12.66%,11.15%,8,12,
AVOD,True,False,cyclical_dcf,mature_growth,"cyclical,capital_intensive",1.64,5.04,-67.41,SAT,0.44B,270000000,11.52%,10.28%,16,12,
BERA,True,False,cyclical_dcf,mature_stable,"cyclical,capital_intensive",14.11,18.00,-21.63,IZLE-SAT,9.64B,683200000,13.79%,9.40%,16,12,
BFREN,True,False,cyclical_dcf,mature_stable,"cyclical,capital_intensive",15.09,145.30,-89.62,SAT,1.85B,122522806,11.74%,12.09%,16,12,
DAGI,True,False,cyclical_dcf,mature_stable,"cyclical,capital_intensive",-3.31,7.40,-144.70,SAT,-1.32B,400000000,10.89%,-0.40%,16,12,
GEDIK,True,False,cyclical_dcf,mature_growth,"cyclical,asset_light",6.95,5.68,22.29,IZLE-AL,13.89B,2000000000,9.12%,1.84%,16,12,
GENTS,True,False,cyclical_dcf,mature_stable,"cyclical,capital_intensive",4.30,8.40,-48.78,SAT,3.23B,750000000,13.53%,11.22%,16,12,
ECZYT,False,False,industrial_fcff,mature_stable,stable,,370.00,,UNKNOWN,,,,-0.09%,16,12,Current revenue is None | DCF execution returned None
DGATE,True,False,cyclical_dcf,mature_growth,"cyclical,asset_light",61.56,96.75,-36.38,SAT,1.84B,29841960,14.17%,2.89%,16,12,
