ticker,success,is_banking,model_used,lifecycle_stage,lifecycle_sub,value_per_share_tl,market_price_tl,upside_pct,damodaran_verdict,equity_value_tl,shares_outstanding,wacc,normalized_margin,periods_fetched,items_mapped,errors
TUPRS,True,False,cyclical_dcf,mature_stable,"cyclical,capital_intensive",187.10,274.75,-31.90,SAT,360.51B,1926795598,12.81%,4.50%,16,12,
PETKM,True,False,cyclical_dcf,mature_stable,"cyclical,capital_intensive",-3.76,24.34,-115.43,SAT,-9.82B,2613000000,12.09%,5.69%,16,12,
EREGL,True,False,cyclical_dcf,mature_stable,"cyclical,capital_intensive",58.54,33.56,74.43,AL,204.89B,3500000000,12.06%,17.62%,16,12,
KRDMD,True,False,cyclical_dcf,mature_stable,"cyclical,capital_intensive",25.08,36.96,-32.13,SAT,23.83B,950000000,13.29%,8.98%,16,12,
TRALT,True,False,cyclical_dcf,mature_stable,"cyclical,capital_intensive",157.88,45.10,250.06,AL,24.08B,152500000,16.27%,44.12%,16,12,
TRMET,True,False,cyclical_dcf,mature_stable,"cyclical,capital_intensive",69.14,129.60,-46.65,SAT,21.09B,305000000,15.75%,33.44%,16,12,
BIMAS,False,False,industrial_fcff,mature_stable,stable,,741.00,,UNKNOWN,,,,4.91%,16,12,Current revenue is None | DCF execution returned None
MGROS,True,False,cyclical_dcf,mature_growth,"cyclical,capital_intensive",185.28,624.00,-70.31,SAT,33.54B,181000000,12.18%,1.89%,16,12,
SOKM,False,False,none,,,,48.96,,UNKNOWN,,,,,0,0,Pipeline error: ValueError: No items in response for SOKM
CCOLA,True,False,cyclical_dcf,mature_stable,"cyclical,capital_intensive",317.51,75.55,320.26,AL,80.77B,254370782,10.38%,11.73%,16,12,
TOASO,True,False,cyclical_dcf,mature_stable,"cyclical,capital_intensive",114.90,293.75,-60.89,SAT,57.45B,500000000,12.67%,7.47%,16,12,
FROTO,True,False,cyclical_dcf,mature_growth,"cyclical,capital_intensive",294.34,100.70,192.30,AL,103.29B,350910000,11.91%,7.14%,16,12,
ARCLK,True,False,cyclical_dcf,mature_stable,"cyclical,capital_intensive",176.78,115.40,53.19,AL,119.45B,675728205,10.25%,7.68%,16,12,
ASELS,True,False,cyclical_dcf,mature_growth,"cyclical,capital_intensive",95.65,419.25,-77.19,SAT,109.04B,1140000000,14.21%,21.70%,16,12,
THYAO,True,False,cyclical_dcf,mature_growth,"cyclical,capital_intensive",-110.81,316.25,-135.04,SAT,-152.92B,1380000000,10.47%,7.73%,16,12,
PGSUS,True,False,cyclical_dcf,mature_growth,"cyclical,capital_intensive",-1082.76,183.00,-691.67,SAT,-110.74B,102271525,9.22%,9.02%,16,12,
ENKAI,True,False,cyclical_dcf,mature_stable,"cyclical,capital_intensive",31.86,103.40,-69.18,SAT,191.18B,6000000000,12.08%,16.78%,16,12,
TCELL,True,False,cyclical_dcf,mature_stable,"cyclical,capital_intensive",146.79,115.10,27.54,IZLE-AL,322.95B,2200000000,11.40%,24.97%,16,12,
TTKOM,True,False,cyclical_dcf,mature_stable,"cyclical,capital_intensive",70.54,63.05,11.87,IZLE-AL,246.87B,3500000000,11.67%,23.52%,16,12,
AEFES,True,False,cyclical_dcf,mature_growth,"cyclical,capital_intensive",249.42,19.04,1209.98,AL,147.68B,592105263,11.75%,10.80%,16,12,
ULKER,True,False,cyclical_dcf,mature_stable,"cyclical,capital_intensive",103.98,122.70,-15.25,IZLE-SAT,39.93B,384000000,9.45%,9.93%,16,12,
AKSA,True,False,cyclical_dcf,mature_stable,"cyclical,capital_intensive",132.59,10.38,1177.34,AL,24.53B,185000000,12.63%,12.06%,16,12,
HEKTS,True,False,cyclical_dcf,mature_growth,"cyclical,capital_intensive",-0.70,3.34,-120.87,SAT,-1.00B,1440000000,11.50%,12.54%,16,12,
NETAS,True,False,cyclical_dcf,mature_stable,"cyclical,capital_intensive",-64.70,64.85,-199.77,SAT,-4.21B,65000000,6.04%,-1.22%,16,12,
TAVHL,True,False,cyclical_dcf,mature_stable,"cyclical,capital_intensive",85.84,290.00,-70.40,SAT,31.18B,363281250,9.92%,19.61%,16,12,
AKSGY,True,False,cyclical_dcf,mature_growth,"cyclical,capital_intensive",9.36,8.87,5.55,BEKLE,11.23B,1200000000,13.97%,68.10%,16,12,
AKSEN,True,False,cyclical_dcf,mature_stable,"cyclical,capital_intensive",2.10,83.60,-97.48,SAT,2.58B,1226750000,11.15%,13.27%,16,12,
BIZIM,True,False,cyclical_dcf,mature_stable,"cyclical,capital_intensive",19.12,27.62,-30.77,SAT,1.15B,60000000,9.33%,0.44%,16,12,
MAVI,False,False,none,,,,43.08,,UNKNOWN,,,,,0,0,Pipeline error: ValueError: No items in response for MAVI
LOGO,True,False,cyclical_dcf,mature_growth,"cyclical,capital_intensive",235.06,142.20,65.30,AL,5.88B,25000000,14.39%,22.43%,16,12,
ASUZU,True,False,cyclical_dcf,mature_stable,"cyclical,capital_intensive",-7.14,69.70,-110.25,SAT,-0.21B,30000000,11.68%,2.44%,16,12,
TKFEN,True,False,cyclical_dcf,mature_stable,"cyclical,capital_intensive",15.15,141.80,-89.32,SAT,5.61B,370000000,11.90%,2.12%,16,12,
VESTL,True,False,cyclical_dcf,mature_stable,"cyclical,capital_intensive",-112.81,28.28,-498.92,SAT,-42.25B,374500000,9.86%,2.17%,16,12,
OYAKC,True,False,cyclical_dcf,mature_growth,"cyclical,capital_intensive",93.63,24.16,287.55,AL,43.07B,460000000,14.38%,24.56%,16,12,
KARSN,True,False,cyclical_dcf,mature_stable,"cyclical,capital_intensive",1.45,11.60,-87.48,SAT,1.05B,720000000,10.02%,8.13%,16,12,
DOHOL,True,False,cyclical_dcf,mature_stable,"cyclical,capital_intensive",7.79,22.70,-65.67,SAT,20.39B,2616938288,11.96%,5.14%,16,12,
INFO,True,False,cyclical_dcf,mature_growth,cyclical,96.62,3.56,2614.18,AL,10.63B,110000000,9.71%,3.32%,16,12,
OTKAR,True,False,cyclical_dcf,mature_stable,"cyclical,capital_intensive",406.82,378.00,7.62,BEKLE,9.76B,24000000,8.32%,11.34%,16,12,
KORDS,True,False,cyclical_dcf,mature_stable,"cyclical,capital_intensive",39.97,65.20,-38.69,SAT,7.77B,194500000,10.03%,8.75%,16,12,
PARSN,True,False,cyclical_dcf,mature_growth,"cyclical,capital_intensive",-24.84,84.10,-129.53,SAT,-2.36B,95000000,12.17%,7.86%,16,12,
