# REELDEĞER USD-Basis Backtest 2021-Q2 → 2026-Q1 (ADR-002)
# Source: backtest_results_20260428_142515.json
# USD/TRY devaluation: 5.093x (8.73 → 44.45)

category,label,cost_model,tl_cum_pct,usd_cum_pct,tl_ann_pct,usd_ann_pct,usd_vol_pct,usd_sharpe,usd_sortino,usd_max_dd_pct
portfolio,konservatif,zero,744.61,65.82,56.71,11.23,47.63,0.152,0.650,-28.73
portfolio,konservatif,realistic,725.07,61.99,55.94,10.69,47.62,0.140,0.601,-29.41
portfolio,dengeli,zero,575.80,32.68,49.52,6.13,42.38,0.050,0.200,-28.86
portfolio,dengeli,realistic,560.18,29.61,48.79,5.61,42.37,0.038,0.151,-29.53
portfolio,agresif,zero,564.74,30.51,49.00,5.77,42.29,0.042,0.165,-31.05
portfolio,agresif,realistic,549.34,27.49,48.27,5.25,42.28,0.029,0.117,-31.71
benchmark,XU100,n/a,830.94,82.77,59.95,13.54,42.03,0.227,,-24.91
benchmark,XU030,n/a,878.78,92.17,61.65,14.74,40.24,0.267,,-22.72
benchmark,SPY,n/a,47.64,47.64,8.55,8.55,15.21,0.299,,-24.80
