# REELDEĞER USD-Basis Backtest 2021-Q2 → 2026-Q1 (ADR-002)
# Source: backtest_results_20260508_010315.json
# USD/TRY devaluation: 5.093x (8.73 → 44.45)

category,label,cost_model,tl_cum_pct,usd_cum_pct,tl_ann_pct,usd_ann_pct,usd_vol_pct,usd_sharpe,usd_sortino,usd_max_dd_pct
portfolio,konservatif,zero,525.72,22.85,47.12,4.43,46.07,0.009,0.031,-30.13
portfolio,konservatif,realistic,511.10,19.98,46.39,3.91,46.06,-0.002,-0.007,-30.32
portfolio,dengeli,zero,527.12,23.12,47.18,4.48,45.77,0.010,0.034,-30.21
portfolio,dengeli,realistic,512.46,20.24,46.45,3.96,45.76,-0.001,-0.003,-30.41
portfolio,agresif,zero,528.07,23.31,47.23,4.51,45.56,0.011,0.040,-30.27
portfolio,agresif,realistic,513.37,20.42,46.50,3.99,45.55,-0.000,-0.001,-30.47
benchmark,XU100,n/a,830.94,82.77,59.95,13.54,42.03,0.227,,-24.91
benchmark,XU030,n/a,878.78,92.17,61.65,14.74,40.24,0.267,,-22.72
benchmark,SPY,n/a,47.64,47.64,8.55,8.55,15.21,0.299,,-24.80
