# REELDEĞER USD-Basis Backtest 2021-Q2 → 2026-Q1 (ADR-002)
# Source: backtest_results_20260507_015041.json
# USD/TRY devaluation: 5.093x (8.73 → 44.45)

category,label,cost_model,tl_cum_pct,usd_cum_pct,tl_ann_pct,usd_ann_pct,usd_vol_pct,usd_sharpe,usd_sortino,usd_max_dd_pct
portfolio,konservatif,zero,1015.65,119.04,66.16,17.95,57.60,0.242,1.043,-34.11
portfolio,konservatif,realistic,989.42,113.89,65.33,17.36,57.59,0.232,0.999,-34.76
portfolio,dengeli,zero,910.97,98.49,62.75,15.53,54.92,0.210,0.915,-33.91
portfolio,dengeli,realistic,887.27,93.83,61.94,14.95,54.91,0.199,0.869,-34.56
portfolio,agresif,zero,840.92,84.73,60.31,13.79,53.02,0.185,0.808,-33.78
portfolio,agresif,realistic,818.90,80.41,59.51,13.23,53.01,0.174,0.762,-34.42
benchmark,XU100,n/a,830.94,82.77,59.95,13.54,42.03,0.227,,-24.91
benchmark,XU030,n/a,878.78,92.17,61.65,14.74,40.24,0.267,,-22.72
benchmark,SPY,n/a,47.64,47.64,8.55,8.55,15.21,0.299,,-24.80
