# REELDEĞER USD-Basis Backtest 2021-Q2 → 2026-Q1 (ADR-002)
# Source: backtest_results_20260507_065401.json
# USD/TRY devaluation: 5.093x (8.73 → 44.45)

category,label,cost_model,tl_cum_pct,usd_cum_pct,tl_ann_pct,usd_ann_pct,usd_vol_pct,usd_sharpe,usd_sortino,usd_max_dd_pct
portfolio,konservatif,zero,1290.73,173.04,74.05,23.55,55.53,0.352,1.644,-27.13
portfolio,konservatif,realistic,1258.68,166.75,73.20,22.94,55.52,0.341,1.592,-27.45
portfolio,dengeli,zero,1144.55,144.34,70.03,20.69,52.87,0.316,1.504,-26.73
portfolio,dengeli,realistic,1115.92,138.72,69.20,20.10,52.86,0.305,1.450,-26.93
portfolio,agresif,zero,1048.00,125.39,67.17,18.66,50.97,0.288,1.381,-26.64
portfolio,agresif,realistic,1021.61,120.21,66.35,18.08,50.96,0.276,1.326,-26.84
benchmark,XU100,n/a,830.94,82.77,59.95,13.54,42.03,0.227,,-24.91
benchmark,XU030,n/a,878.78,92.17,61.65,14.74,40.24,0.267,,-22.72
benchmark,SPY,n/a,47.64,47.64,8.55,8.55,15.21,0.299,,-24.80
