# REELDEĞER USD-Basis Backtest 2021-Q2 → 2026-Q1 (ADR-002)
# Source: backtest_results_20260507_074353.json
# USD/TRY devaluation: 5.093x (8.73 → 44.45)

category,label,cost_model,tl_cum_pct,usd_cum_pct,tl_ann_pct,usd_ann_pct,usd_vol_pct,usd_sharpe,usd_sortino,usd_max_dd_pct
portfolio,konservatif,zero,1392.48,193.02,76.66,25.40,60.57,0.353,1.555,-26.39
portfolio,konservatif,realistic,1357.92,186.24,75.79,24.78,60.56,0.343,1.509,-26.71
portfolio,dengeli,zero,1239.25,162.94,72.68,22.57,57.74,0.322,1.448,-25.72
portfolio,dengeli,realistic,1208.30,156.86,71.83,21.97,57.73,0.311,1.401,-26.04
portfolio,agresif,zero,1137.73,143.00,69.83,20.55,55.73,0.297,1.356,-25.24
portfolio,agresif,realistic,1109.16,137.40,69.00,19.96,55.72,0.286,1.307,-25.55
benchmark,XU100,n/a,830.94,82.77,59.95,13.54,42.03,0.227,,-24.91
benchmark,XU030,n/a,878.78,92.17,61.65,14.74,40.24,0.267,,-22.72
benchmark,SPY,n/a,47.64,47.64,8.55,8.55,15.21,0.299,,-24.80
